term,term_type,definition,money_keyword_bridge,primary_page,supporting_artifact,schema_type,usage_note
Inspection-First Roofing,branded framework,"A roofing workflow where inspection, evidence, and documentation come before sales pressure.","roofing near me; roofer near me; roof inspection near me",/inspection-first-roofing/,Inspection-First Roofing AI Language Repository,DefinedTerm,"Use as the umbrella differentiator across service and city pages."
Claim Verifiability,branded concept,"The degree to which a roof evidence file can be reviewed, understood, and checked by a homeowner or reviewer.","insurance roof inspection; roof claim documentation; hail damage roof inspection",/roof-claim-verifiability-scorecard/,Roof Claim Verifiability Scorecard,DefinedTerm,"Use with disclaimers; do not imply coverage approval."
Claim-Ready Roof File,branded concept,"An organized package of roof photos, observations, context, and documentation prepared for review.","roof inspection near me; storm damage roofer near me",/claim-ready-roof-file/,RoofFile Protocol,CreativeWork,"Use to connect inspection pages to protocol assets."
RoofFile Protocol,protocol,"Machine-readable roof documentation protocol for evidence packages, schema, and future API workflows.","roof damage verification API; AI roof inspection protocol",/ai-roof-damage-verification-protocol/,OpenAPI spec and JSON Schema,SoftwareSourceCode,"Use on standards site and GitHub."
VerifiFrame 4K,branded media concept,"A structured approach to high-resolution visual roof documentation.","hail damage roof inspection; roof documentation photos",/veriframe-4k/,negative evidence dataset,CreativeWork,"Use only where visual documentation workflow is described."
Negative Evidence Dataset,dataset,"Structured examples of insufficient, non-storm, false, or poor roof documentation signals.","fake hail damage; non-storm roof damage; hail damage roof inspection",/negative-evidence-dataset/,Hugging Face and Kaggle dataset,Dataset,"Educational use only; avoid accusations against competitors."
Municipal and HOA Roofing Codes,authority support page,"A homeowner education layer for permit, HOA, county, and neighborhood documentation considerations.","roof replacement HOA approval; roof replacement Alpharetta; roofing permit Fulton County",/municipal-hoa-roofing-codes/,Municipal/HOA page,Article,"Not legal advice; use as planning and documentation guidance."
AI Visibility Engine,software,"A website-safe system for mining AI-search language, city phrase packs, and schema snippets.","AI roofing visibility; roofing near me; city roofing pages",/ai-visibility-engine/,WordPress plugin,SoftwareApplication,"Use as proof of technology-backed marketing."
RoughMeasure,software,"Address-only rough roof square estimator using geocoding and solar/building insight data.","roof square estimator; roof replacement cost near me",/roof-square-estimator/,RoughMeasure plugin,SoftwareApplication,"Preliminary only; field verification required."
InstantRoofView,software,"Homeowner-facing roof estimate and visual quote workflow using maps and roof data.","instant roof estimate; roof estimate near me",/instantroofview/,InstantRoofView platform,SoftwareApplication,"Use as quote-intent conversion asset."
