territory,county_or_region,core_money_keywords,long_tail_keywords,support_asset,proof_asset,schema_recommendation,notes
Alpharetta,Fulton County,"Alpharetta roofing company; roof repair Alpharetta; roof replacement Alpharetta","roof inspection Alpharetta; hail damage roof inspection Alpharetta; HOA roof replacement Alpharetta","municipal and HOA roofing codes page","verified address; GBP; BBB; LinkedIn","LocalBusiness; RoofingContractor; Service; FAQPage","Primary home-base market"
Roswell,Fulton County,"Roswell roofing company; roof repair Roswell; roof replacement Roswell","storm damage roofer Roswell; roof leak repair Roswell; roof inspection Roswell","city roof repair guide","service-area proof; photos; internal links","Service; FAQPage; BreadcrumbList","Strong North Atlanta target"
Milton,Fulton County,"Milton roofing company; roof repair Milton; roof replacement Milton","HOA roof replacement Milton; hail damage roof inspection Milton","HOA roof replacement checklist","HOA/code documentation content","Service; Article; FAQPage","Good HOA/documentation angle"
Johns Creek,Fulton County/Gwinnett County,"Johns Creek roofing company; roof repair Johns Creek; roof inspection Johns Creek","roof leak repair Johns Creek; storm damage documentation Johns Creek","inspection-first city guide","service-area proof; internal links","Service; FAQPage","Useful inspection-first cluster"
Cumming,Forsyth County,"Cumming roofing company; roof repair Cumming; roof replacement Cumming","Forsyth County roof inspection; hail damage Cumming; roof square estimator Cumming","county roof documentation guide","county/service-area proof","Service; Article; FAQPage","County expansion opportunity"
Sandy Springs,Fulton County,"Sandy Springs roofing company; roof repair Sandy Springs; roof replacement Sandy Springs","emergency roof leak Sandy Springs; roof inspection Sandy Springs","emergency repair guide","service-area proof","Service; FAQPage","Dense local repair intent"
Atlanta,Fulton/DeKalb County,"Atlanta roofing company; roof repair Atlanta; roof replacement Atlanta","North Atlanta roofer; roof inspection Atlanta; storm damage roofer Atlanta","Atlanta service-area page","honest service-area context; no fake office","Service; Article; FAQPage","Treat as service-area and research target unless a verified office exists"
Marietta,Cobb County,"Marietta roofing company; roof repair Marietta; roof replacement Marietta","Cobb County roof documentation; roof inspection Marietta","county expansion guide","service-area proof if active","Service; Article","Use only where service is truthful"
Canton,Cherokee County,"Canton roofing company; roof repair Canton; roof replacement Canton","Cherokee County roof documentation; hail inspection Canton","county guide","service-area proof if active","Service; Article","North metro expansion"
Duluth,Gwinnett County,"Duluth roofing company; roof repair Duluth; roof replacement Duluth","Gwinnett County roof inspection; storm damage Duluth","county guide","service-area proof if active","Service; Article","East/northeast metro opportunity"
Suwanee,Gwinnett County,"Suwanee roofing company; roof repair Suwanee; roof replacement Suwanee","HOA roof replacement Suwanee; roof inspection Suwanee","HOA roof documentation guide","service-area proof if active","Service; FAQPage","HOA-heavy long-tail opportunity"
Brookhaven,DeKalb County,"Brookhaven roofing company; roof repair Brookhaven; roof replacement Brookhaven","roof leak repair Brookhaven; storm damage Brookhaven","urban leak repair guide","service-area proof if active","Service; FAQPage","Urban repair/service-area opportunity"
North Atlanta,Regional,"North Atlanta roofing company; North Atlanta roofer; roof repair North Atlanta","inspection-first roofer North Atlanta; storm damage roof inspection North Atlanta","regional service hub","press; standards; software stack","CollectionPage; Service","Useful umbrella for non-GBP core radius"
Metro Atlanta,Regional,"Metro Atlanta roofing company; Metro Atlanta roof repair","roofing near me Metro Atlanta; roof replacement Metro Atlanta","regional research hub","standards; GitHub; datasets; press","CollectionPage; ResearchProject","Broad entity support layer"
